Tender_No,Railway_Name,Opening_Date,Tender_Nature,Awarded_To,L1_Price,Basic_Amount,Quantity,Material_Type,Comp_A,Comp_B,Comp_C,Comp_D,Comp_E,Comp_F,Comp_G,Comp_H,Comp_I,Comp_J,Comp_K,Comp_L
55051,KHARAGPUR DIVISION-ENGG/SOUTH EASTERN RLY,4/17/2023,Execution,Comp_A,2144,1816.6,3063,R260,2144,0,2475,0,0,0,0,0,0,0,0,0
55051,KHARAGPUR DIVISION-ENGG/SOUTH EASTERN RLY,4/17/2023,Execution,Comp_A,2511,2127.7,2031,60 Kg,2511,0,2475,0,0,0,0,0,0,0,0,0
55052,NAGPUR CR DIVISION-ENGINEERING/CENTRAL RLY,4/24/2023,Execution,Comp_B,3797,3217.7,200,R260,4456,3797,4299,0,0,0,0,0,0,0,0,0
55052,NAGPUR CR DIVISION-ENGINEERING/CENTRAL RLY,4/24/2023,Execution,Comp_B,3797,3217.7,200,52 Kg,4456,3797,4299,0,0,0,0,0,0,0,0,0
55052,NAGPUR CR DIVISION-ENGINEERING/CENTRAL RLY,4/24/2023,Execution,Comp_B,5199,4405.5,1500,60 kg,6101,5199,5886,0,0,0,0,0,0,0,0,0
55052,NAGPUR CR DIVISION-ENGINEERING/CENTRAL RLY,4/24/2023,Execution,Comp_B,5118,4336.9,1000,R260,6006,5118,5794,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
